source,destination,distance_km,travel_time_minutes,alt_distance_km,alt_travel_time_minutes,time_of_day,stop1,stop1_traffic,stop1_alt_route,stop1_weather,stop1_road_condition,stop1_passenger_demand_in,stop1_passenger_demand_out,stop2,stop2_traffic,stop2_alt_route,stop2_weather,stop2_road_condition,stop2_passenger_demand_in,stop2_passenger_demand_out,stop3,stop3_traffic,stop3_alt_route,stop3_weather,stop3_road_condition,stop3_passenger_demand_in,stop3_passenger_demand_out,stop4,stop4_traffic,stop4_alt_route,stop4_weather,stop4_road_condition,stop4_passenger_demand_in,stop4_passenger_demand_out,stop5,stop5_traffic,stop5_alt_route,stop5_weather,stop5_road_condition,stop5_passenger_demand_in,stop5_passenger_demand_out,stop6,stop6_traffic,stop6_alt_route,stop6_weather,stop6_road_condition,stop6_passenger_demand_in,stop6_passenger_demand_out,stop7,stop7_traffic,stop7_alt_route,stop7_weather,stop7_road_condition,stop7_passenger_demand_in,stop7_passenger_demand_out,stop8,stop8_traffic,stop8_alt_route,stop8_weather,stop8_road_condition,stop8_passenger_demand_in,stop8_passenger_demand_out,stop9,stop9_traffic,stop9_alt_route,stop9_weather,stop9_road_condition,stop9_passenger_demand_in,stop9_passenger_demand_out,stop10,stop10_traffic,stop10_alt_route,stop10_weather,stop10_road_condition,stop10_passenger_demand_in,stop10_passenger_demand_out,stop11,stop11_traffic,stop11_alt_route,stop11_weather,stop11_road_condition,stop11_passenger_demand_in,stop11_passenger_demand_out,stop12,stop12_traffic,stop12_alt_route,stop12_weather,stop12_road_condition,stop12_passenger_demand_in,stop12_passenger_demand_out
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,25.36507841475261,54,32.232062224668255,60,08:21,Jaitpur Crossing,Moderate,False,Rainy,Good,41,40,Lal Kuan,High,False,Rainy,Poor,32,29,Okhla Phase 1,High,True,Clear,Good,32,47,Govind Puri Metro Station,High,False,Foggy,Good,22,48,Nehru Place Terminal,Low,True,Rainy,Good,7,7,Panchsheel Enclave,Low,True,Clear,Moderate,3,48,IIT Gate,High,False,Rainy,Moderate,7,7,Munirka DDA Flats,High,False,Clear,Good,4,21,Vasant Vihar,High,False,Cloudy,Poor,42,44,Palam Airport / IGI Airport T111,High,False,Clear,Good,43,30,Dwarka Crossing / Maharaja Agrasen Chowk,Low,True,Rainy,Poor,46,28,Dwarka Sec-6 Telephone Exchange,Moderate,False,Clear,Poor,17,2
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,30.432154115667426,69,30.543964771133965,66,07:53,Jaitpur Crossing,Low,True,Clear,Moderate,37,28,Lal Kuan,Moderate,False,Cloudy,Moderate,22,30,Okhla Phase 1,Low,False,Foggy,Good,11,35,Govind Puri Metro Station,Low,True,Rainy,Good,17,50,Nehru Place Terminal,Low,False,Foggy,Poor,4,17,Panchsheel Enclave,Low,False,Rainy,Poor,45,47,IIT Gate,Low,False,Clear,Poor,32,34,Munirka DDA Flats,High,True,Foggy,Good,24,17,Vasant Vihar,Low,False,Rainy,Good,28,16,Palam Airport / IGI Airport T111,Low,False,Clear,Moderate,7,21,Dwarka Crossing / Maharaja Agrasen Chowk,Low,False,Clear,Good,18,12,Dwarka Sec-6 Telephone Exchange,High,False,Foggy,Poor,32,45
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,34.82815037052202,72,31.822007860803723,52,22:26,Jaitpur Crossing,Low,True,Clear,Poor,48,20,Lal Kuan,Low,True,Clear,Poor,35,31,Okhla Phase 1,Low,False,Foggy,Good,34,40,Govind Puri Metro Station,Moderate,True,Clear,Poor,8,28,Nehru Place Terminal,Moderate,True,Foggy,Good,34,0,Panchsheel Enclave,Moderate,False,Cloudy,Good,0,6,IIT Gate,High,True,Clear,Good,39,30,Munirka DDA Flats,High,True,Cloudy,Moderate,44,14,Vasant Vihar,Moderate,True,Cloudy,Good,13,11,Palam Airport / IGI Airport T111,Low,True,Cloudy,Poor,19,46,Dwarka Crossing / Maharaja Agrasen Chowk,High,True,Rainy,Poor,19,21,Dwarka Sec-6 Telephone Exchange,Low,False,Foggy,Good,37,33
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,26.917328565479647,69,32.23709562452649,62,09:47,Jaitpur Crossing,Moderate,False,Clear,Moderate,41,4,Lal Kuan,Low,False,Cloudy,Poor,3,25,Okhla Phase 1,Moderate,True,Cloudy,Moderate,45,38,Govind Puri Metro Station,Low,True,Foggy,Good,25,36,Nehru Place Terminal,Moderate,True,Foggy,Moderate,42,22,Panchsheel Enclave,High,False,Foggy,Poor,15,3,IIT Gate,Moderate,True,Foggy,Poor,9,22,Munirka DDA Flats,High,True,Cloudy,Poor,44,8,Vasant Vihar,Moderate,False,Rainy,Moderate,49,43,Palam Airport / IGI Airport T111,Moderate,False,Foggy,Good,43,7,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,False,Rainy,Poor,50,48,Dwarka Sec-6 Telephone Exchange,High,True,Foggy,Good,50,17
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,29.309938270695287,89,30.752403169506756,52,01:59,Jaitpur Crossing,Low,True,Cloudy,Poor,27,46,Lal Kuan,High,False,Foggy,Good,31,19,Okhla Phase 1,High,True,Cloudy,Moderate,24,11,Govind Puri Metro Station,Low,False,Rainy,Moderate,47,10,Nehru Place Terminal,Low,False,Rainy,Moderate,9,7,Panchsheel Enclave,Moderate,True,Cloudy,Poor,10,43,IIT Gate,Low,False,Clear,Poor,20,1,Munirka DDA Flats,Moderate,True,Rainy,Good,8,31,Vasant Vihar,Moderate,True,Foggy,Poor,45,12,Palam Airport / IGI Airport T111,High,False,Cloudy,Moderate,8,7,Dwarka Crossing / Maharaja Agrasen Chowk,Low,True,Foggy,Moderate,5,41,Dwarka Sec-6 Telephone Exchange,High,True,Cloudy,Moderate,3,25
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,25.736714346681627,87,34.38963577844321,77,04:20,Jaitpur Crossing,Low,False,Foggy,Moderate,29,36,Lal Kuan,Low,True,Cloudy,Poor,29,0,Okhla Phase 1,Moderate,True,Clear,Poor,29,39,Govind Puri Metro Station,Low,True,Cloudy,Poor,34,7,Nehru Place Terminal,Moderate,True,Rainy,Good,46,9,Panchsheel Enclave,High,False,Rainy,Moderate,29,16,IIT Gate,Low,True,Rainy,Moderate,15,37,Munirka DDA Flats,Moderate,True,Foggy,Moderate,18,45,Vasant Vihar,Moderate,False,Rainy,Moderate,12,43,Palam Airport / IGI Airport T111,Moderate,False,Foggy,Moderate,13,11,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,True,Rainy,Poor,23,10,Dwarka Sec-6 Telephone Exchange,Moderate,False,Rainy,Poor,23,40
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,28.250068003333446,78,27.927852229512908,59,17:11,Jaitpur Crossing,Moderate,False,Cloudy,Poor,32,39,Lal Kuan,Low,True,Rainy,Moderate,49,7,Okhla Phase 1,Low,False,Foggy,Good,24,25,Govind Puri Metro Station,Moderate,False,Cloudy,Good,2,24,Nehru Place Terminal,High,False,Cloudy,Poor,39,11,Panchsheel Enclave,Low,False,Rainy,Moderate,30,24,IIT Gate,Low,False,Foggy,Moderate,48,36,Munirka DDA Flats,Low,False,Clear,Good,2,27,Vasant Vihar,High,True,Clear,Moderate,49,7,Palam Airport / IGI Airport T111,Low,True,Cloudy,Poor,24,9,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,True,Clear,Good,46,8,Dwarka Sec-6 Telephone Exchange,High,False,Clear,Good,35,5
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,28.85600072431134,60,34.977391753305994,50,10:50,Jaitpur Crossing,Moderate,True,Rainy,Good,7,23,Lal Kuan,High,False,Foggy,Poor,43,17,Okhla Phase 1,Moderate,False,Foggy,Good,12,5,Govind Puri Metro Station,Moderate,False,Rainy,Poor,31,3,Nehru Place Terminal,Moderate,True,Cloudy,Good,12,15,Panchsheel Enclave,High,True,Clear,Moderate,18,17,IIT Gate,Moderate,True,Rainy,Good,43,29,Munirka DDA Flats,Moderate,False,Rainy,Poor,11,50,Vasant Vihar,High,False,Clear,Moderate,23,32,Palam Airport / IGI Airport T111,Moderate,False,Rainy,Moderate,40,8,Dwarka Crossing / Maharaja Agrasen Chowk,High,True,Cloudy,Good,18,22,Dwarka Sec-6 Telephone Exchange,High,False,Foggy,Poor,3,44
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,33.2989624629641,83,25.445853078031046,86,13:10,Jaitpur Crossing,High,False,Rainy,Good,43,41,Lal Kuan,Low,False,Cloudy,Moderate,20,26,Okhla Phase 1,Moderate,True,Cloudy,Good,19,40,Govind Puri Metro Station,Moderate,True,Rainy,Moderate,40,47,Nehru Place Terminal,High,False,Foggy,Moderate,42,47,Panchsheel Enclave,Low,False,Clear,Poor,7,48,IIT Gate,Low,True,Foggy,Good,46,5,Munirka DDA Flats,High,False,Cloudy,Poor,47,15,Vasant Vihar,High,True,Rainy,Good,20,6,Palam Airport / IGI Airport T111,Low,True,Cloudy,Poor,7,32,Dwarka Crossing / Maharaja Agrasen Chowk,High,True,Cloudy,Good,16,1,Dwarka Sec-6 Telephone Exchange,Moderate,False,Cloudy,Moderate,49,45
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,28.221499483232346,63,34.401569669350586,61,22:55,Jaitpur Crossing,Moderate,False,Rainy,Poor,27,7,Lal Kuan,High,False,Rainy,Moderate,14,18,Okhla Phase 1,Low,False,Rainy,Moderate,29,11,Govind Puri Metro Station,Low,False,Cloudy,Poor,45,24,Nehru Place Terminal,High,False,Cloudy,Moderate,6,7,Panchsheel Enclave,Moderate,False,Clear,Good,27,1,IIT Gate,Moderate,True,Rainy,Good,19,5,Munirka DDA Flats,High,True,Cloudy,Poor,6,36,Vasant Vihar,Low,True,Rainy,Moderate,18,11,Palam Airport / IGI Airport T111,High,False,Foggy,Poor,22,50,Dwarka Crossing / Maharaja Agrasen Chowk,Low,False,Foggy,Good,32,20,Dwarka Sec-6 Telephone Exchange,Moderate,False,Foggy,Moderate,46,15
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,32.01954248239514,90,29.773872246867263,66,02:39,Jaitpur Crossing,Low,False,Cloudy,Poor,7,45,Lal Kuan,Low,False,Rainy,Good,37,17,Okhla Phase 1,Moderate,False,Rainy,Poor,18,16,Govind Puri Metro Station,Low,True,Clear,Good,19,29,Nehru Place Terminal,Low,True,Clear,Poor,1,47,Panchsheel Enclave,Low,False,Rainy,Moderate,7,46,IIT Gate,Moderate,False,Cloudy,Good,13,7,Munirka DDA Flats,Low,False,Cloudy,Good,49,37,Vasant Vihar,High,False,Foggy,Moderate,2,2,Palam Airport / IGI Airport T111,Moderate,False,Cloudy,Poor,8,38,Dwarka Crossing / Maharaja Agrasen Chowk,Low,True,Foggy,Good,27,7,Dwarka Sec-6 Telephone Exchange,Moderate,True,Cloudy,Moderate,0,21
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,27.679652122768083,76,30.95155243888258,55,05:31,Jaitpur Crossing,High,True,Cloudy,Good,22,26,Lal Kuan,Moderate,True,Foggy,Poor,9,34,Okhla Phase 1,Low,True,Cloudy,Good,27,33,Govind Puri Metro Station,High,True,Foggy,Moderate,0,11,Nehru Place Terminal,Low,True,Foggy,Good,32,47,Panchsheel Enclave,Low,False,Cloudy,Good,32,35,IIT Gate,Low,True,Cloudy,Good,23,36,Munirka DDA Flats,Moderate,False,Clear,Poor,12,13,Vasant Vihar,Low,True,Foggy,Moderate,41,46,Palam Airport / IGI Airport T111,Low,False,Rainy,Poor,3,24,Dwarka Crossing / Maharaja Agrasen Chowk,Low,True,Cloudy,Good,50,36,Dwarka Sec-6 Telephone Exchange,Moderate,False,Rainy,Poor,22,20
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,32.95876457370667,86,33.7743498081977,58,21:18,Jaitpur Crossing,Low,True,Clear,Moderate,43,21,Lal Kuan,Moderate,False,Clear,Moderate,31,13,Okhla Phase 1,Moderate,False,Clear,Poor,19,44,Govind Puri Metro Station,High,True,Foggy,Poor,20,26,Nehru Place Terminal,Low,True,Rainy,Good,8,28,Panchsheel Enclave,Low,True,Clear,Moderate,1,6,IIT Gate,Moderate,True,Clear,Poor,49,0,Munirka DDA Flats,Moderate,True,Cloudy,Good,25,26,Vasant Vihar,Moderate,True,Cloudy,Poor,6,44,Palam Airport / IGI Airport T111,Moderate,True,Rainy,Moderate,36,13,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,True,Clear,Moderate,7,41,Dwarka Sec-6 Telephone Exchange,Moderate,True,Cloudy,Poor,27,2
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,30.096097567137463,57,32.83743151642942,67,19:25,Jaitpur Crossing,Low,False,Rainy,Good,8,41,Lal Kuan,High,False,Cloudy,Poor,29,14,Okhla Phase 1,Moderate,False,Cloudy,Poor,35,8,Govind Puri Metro Station,Low,False,Clear,Good,26,13,Nehru Place Terminal,High,True,Rainy,Poor,10,42,Panchsheel Enclave,Low,False,Clear,Poor,40,39,IIT Gate,Moderate,True,Clear,Good,6,42,Munirka DDA Flats,Low,False,Rainy,Poor,50,18,Vasant Vihar,High,False,Foggy,Good,25,2,Palam Airport / IGI Airport T111,Moderate,False,Foggy,Poor,20,41,Dwarka Crossing / Maharaja Agrasen Chowk,Low,False,Foggy,Poor,15,19,Dwarka Sec-6 Telephone Exchange,High,False,Foggy,Poor,2,30
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,29.98025684421723,72,33.987062966160686,56,12:44,Jaitpur Crossing,Low,True,Clear,Poor,18,23,Lal Kuan,High,False,Foggy,Moderate,22,11,Okhla Phase 1,Moderate,True,Cloudy,Good,11,6,Govind Puri Metro Station,Moderate,False,Rainy,Poor,13,28,Nehru Place Terminal,Low,False,Foggy,Good,17,24,Panchsheel Enclave,High,True,Foggy,Moderate,50,13,IIT Gate,Moderate,False,Rainy,Poor,48,34,Munirka DDA Flats,Low,False,Rainy,Moderate,10,7,Vasant Vihar,High,True,Clear,Poor,47,29,Palam Airport / IGI Airport T111,Moderate,True,Cloudy,Moderate,36,16,Dwarka Crossing / Maharaja Agrasen Chowk,High,False,Foggy,Poor,45,1,Dwarka Sec-6 Telephone Exchange,High,False,Rainy,Good,13,14
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,26.222519323172563,54,30.361766668034935,79,20:26,Jaitpur Crossing,High,True,Cloudy,Poor,15,42,Lal Kuan,Low,True,Cloudy,Poor,42,21,Okhla Phase 1,Low,False,Rainy,Good,20,40,Govind Puri Metro Station,Moderate,False,Clear,Good,48,27,Nehru Place Terminal,Moderate,True,Foggy,Poor,42,27,Panchsheel Enclave,Low,True,Clear,Good,46,6,IIT Gate,Low,False,Clear,Poor,35,44,Munirka DDA Flats,High,False,Cloudy,Moderate,8,0,Vasant Vihar,Low,False,Rainy,Moderate,30,13,Palam Airport / IGI Airport T111,Low,False,Clear,Moderate,9,32,Dwarka Crossing / Maharaja Agrasen Chowk,Low,True,Foggy,Good,10,33,Dwarka Sec-6 Telephone Exchange,High,False,Cloudy,Good,15,22
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,27.928983344787902,75,28.224262689732043,64,16:58,Jaitpur Crossing,High,False,Cloudy,Poor,5,15,Lal Kuan,Low,False,Cloudy,Moderate,38,8,Okhla Phase 1,High,True,Rainy,Poor,26,1,Govind Puri Metro Station,High,True,Cloudy,Poor,28,30,Nehru Place Terminal,High,True,Clear,Poor,47,16,Panchsheel Enclave,High,True,Cloudy,Good,34,49,IIT Gate,Low,True,Rainy,Poor,34,0,Munirka DDA Flats,Low,False,Cloudy,Moderate,13,0,Vasant Vihar,Moderate,True,Rainy,Good,33,33,Palam Airport / IGI Airport T111,Moderate,False,Cloudy,Good,17,25,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,False,Clear,Good,2,23,Dwarka Sec-6 Telephone Exchange,Moderate,False,Cloudy,Moderate,12,44
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,32.13687861818393,50,33.80471468092106,53,01:02,Jaitpur Crossing,Moderate,False,Foggy,Poor,48,45,Lal Kuan,High,False,Clear,Good,23,38,Okhla Phase 1,High,True,Foggy,Moderate,22,16,Govind Puri Metro Station,High,False,Clear,Good,19,0,Nehru Place Terminal,Moderate,True,Cloudy,Poor,6,31,Panchsheel Enclave,Low,False,Foggy,Poor,10,1,IIT Gate,Moderate,True,Cloudy,Moderate,8,33,Munirka DDA Flats,Moderate,True,Cloudy,Moderate,41,43,Vasant Vihar,Moderate,True,Cloudy,Good,22,4,Palam Airport / IGI Airport T111,High,False,Rainy,Moderate,5,31,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,True,Rainy,Good,47,38,Dwarka Sec-6 Telephone Exchange,Low,False,Clear,Good,6,38
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,34.57010624000292,88,29.48922010493736,83,07:45,Jaitpur Crossing,High,True,Cloudy,Poor,35,21,Lal Kuan,Moderate,False,Clear,Good,34,50,Okhla Phase 1,Low,False,Cloudy,Good,11,34,Govind Puri Metro Station,High,False,Rainy,Moderate,2,6,Nehru Place Terminal,Low,True,Rainy,Good,31,47,Panchsheel Enclave,Low,True,Rainy,Poor,32,41,IIT Gate,Moderate,False,Rainy,Moderate,11,18,Munirka DDA Flats,Moderate,False,Cloudy,Moderate,35,44,Vasant Vihar,Low,True,Rainy,Poor,24,37,Palam Airport / IGI Airport T111,Moderate,False,Cloudy,Poor,9,29,Dwarka Crossing / Maharaja Agrasen Chowk,High,False,Cloudy,Good,6,47,Dwarka Sec-6 Telephone Exchange,Moderate,True,Cloudy,Poor,20,23
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,28.0433433772803,79,30.019391551026082,62,10:34,Jaitpur Crossing,High,False,Foggy,Good,31,12,Lal Kuan,High,True,Cloudy,Poor,20,17,Okhla Phase 1,Low,True,Clear,Poor,21,41,Govind Puri Metro Station,Low,True,Foggy,Moderate,19,7,Nehru Place Terminal,Low,True,Rainy,Good,0,23,Panchsheel Enclave,High,True,Foggy,Poor,20,37,IIT Gate,Low,True,Rainy,Poor,32,8,Munirka DDA Flats,Moderate,False,Cloudy,Moderate,32,8,Vasant Vihar,Low,True,Clear,Good,46,34,Palam Airport / IGI Airport T111,Low,False,Cloudy,Good,43,45,Dwarka Crossing / Maharaja Agrasen Chowk,Low,True,Clear,Good,39,47,Dwarka Sec-6 Telephone Exchange,Low,False,Foggy,Moderate,3,19
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,32.41857331481857,74,26.11752741063295,66,06:47,Jaitpur Crossing,Moderate,False,Rainy,Poor,8,16,Lal Kuan,High,False,Clear,Good,9,49,Okhla Phase 1,Moderate,False,Clear,Poor,45,25,Govind Puri Metro Station,Low,True,Foggy,Good,16,12,Nehru Place Terminal,Low,False,Cloudy,Good,28,9,Panchsheel Enclave,Low,True,Cloudy,Good,10,31,IIT Gate,Moderate,False,Foggy,Poor,15,3,Munirka DDA Flats,Low,False,Rainy,Poor,47,44,Vasant Vihar,High,False,Clear,Good,15,35,Palam Airport / IGI Airport T111,Moderate,True,Clear,Moderate,28,25,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,True,Cloudy,Good,28,13,Dwarka Sec-6 Telephone Exchange,Moderate,False,Rainy,Good,18,23
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,31.383104799607274,74,33.44225699438279,68,21:38,Jaitpur Crossing,Moderate,True,Rainy,Moderate,35,40,Lal Kuan,Moderate,False,Rainy,Poor,45,13,Okhla Phase 1,High,True,Rainy,Moderate,1,33,Govind Puri Metro Station,High,True,Clear,Moderate,50,24,Nehru Place Terminal,Low,False,Foggy,Good,45,39,Panchsheel Enclave,Moderate,False,Cloudy,Poor,50,45,IIT Gate,High,False,Clear,Poor,45,29,Munirka DDA Flats,Moderate,True,Clear,Poor,19,7,Vasant Vihar,Moderate,False,Cloudy,Moderate,30,12,Palam Airport / IGI Airport T111,Moderate,False,Foggy,Moderate,15,27,Dwarka Crossing / Maharaja Agrasen Chowk,Low,False,Clear,Poor,30,27,Dwarka Sec-6 Telephone Exchange,High,False,Rainy,Moderate,19,12
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,27.470464199035135,80,27.527668240547094,89,16:50,Jaitpur Crossing,High,True,Foggy,Poor,15,14,Lal Kuan,Moderate,False,Cloudy,Poor,36,31,Okhla Phase 1,Low,True,Foggy,Good,5,6,Govind Puri Metro Station,Moderate,False,Rainy,Poor,2,35,Nehru Place Terminal,High,False,Rainy,Good,46,6,Panchsheel Enclave,Low,False,Cloudy,Poor,23,6,IIT Gate,Moderate,True,Foggy,Good,14,49,Munirka DDA Flats,Moderate,False,Foggy,Good,0,19,Vasant Vihar,Moderate,False,Cloudy,Good,22,27,Palam Airport / IGI Airport T111,Low,True,Foggy,Good,5,41,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,True,Foggy,Moderate,35,2,Dwarka Sec-6 Telephone Exchange,Low,False,Rainy,Poor,13,26
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,30.015596796548863,61,30.21545285087352,60,21:55,Jaitpur Crossing,High,True,Clear,Moderate,10,44,Lal Kuan,Low,False,Clear,Poor,44,26,Okhla Phase 1,Moderate,False,Cloudy,Moderate,18,44,Govind Puri Metro Station,Moderate,False,Clear,Good,41,38,Nehru Place Terminal,Moderate,True,Cloudy,Good,23,13,Panchsheel Enclave,Moderate,True,Cloudy,Poor,19,48,IIT Gate,Moderate,True,Clear,Poor,12,14,Munirka DDA Flats,Moderate,True,Foggy,Moderate,36,36,Vasant Vihar,Low,False,Clear,Good,45,20,Palam Airport / IGI Airport T111,Moderate,False,Cloudy,Good,23,19,Dwarka Crossing / Maharaja Agrasen Chowk,Low,True,Clear,Good,17,33,Dwarka Sec-6 Telephone Exchange,High,False,Clear,Good,34,0
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,32.035323625974165,56,31.509423370865157,75,05:40,Jaitpur Crossing,High,True,Rainy,Moderate,18,39,Lal Kuan,High,False,Rainy,Poor,35,0,Okhla Phase 1,Low,True,Foggy,Moderate,36,45,Govind Puri Metro Station,High,False,Foggy,Moderate,35,48,Nehru Place Terminal,Moderate,False,Cloudy,Poor,19,27,Panchsheel Enclave,Moderate,True,Foggy,Poor,19,48,IIT Gate,High,True,Rainy,Good,33,19,Munirka DDA Flats,High,False,Cloudy,Moderate,4,47,Vasant Vihar,Low,False,Clear,Good,34,41,Palam Airport / IGI Airport T111,High,True,Clear,Good,5,8,Dwarka Crossing / Maharaja Agrasen Chowk,Low,True,Cloudy,Moderate,30,38,Dwarka Sec-6 Telephone Exchange,High,True,Rainy,Poor,50,50
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,32.182246488531504,71,33.96299506409373,55,11:09,Jaitpur Crossing,Moderate,True,Cloudy,Moderate,30,13,Lal Kuan,Low,False,Foggy,Poor,50,43,Okhla Phase 1,Moderate,False,Cloudy,Moderate,6,19,Govind Puri Metro Station,Low,False,Clear,Good,39,6,Nehru Place Terminal,High,True,Rainy,Moderate,50,22,Panchsheel Enclave,Low,True,Cloudy,Poor,39,50,IIT Gate,High,True,Foggy,Poor,17,30,Munirka DDA Flats,Moderate,True,Clear,Good,44,17,Vasant Vihar,Low,False,Foggy,Moderate,32,12,Palam Airport / IGI Airport T111,Low,True,Rainy,Poor,19,23,Dwarka Crossing / Maharaja Agrasen Chowk,Low,False,Clear,Moderate,45,29,Dwarka Sec-6 Telephone Exchange,High,False,Foggy,Moderate,19,22
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,29.035944847925347,67,28.964515005563815,67,17:54,Jaitpur Crossing,High,True,Rainy,Good,0,7,Lal Kuan,Moderate,True,Cloudy,Good,9,12,Okhla Phase 1,Low,False,Rainy,Poor,3,21,Govind Puri Metro Station,Low,False,Foggy,Poor,20,48,Nehru Place Terminal,Low,False,Rainy,Poor,26,6,Panchsheel Enclave,High,True,Rainy,Moderate,22,16,IIT Gate,Low,False,Rainy,Moderate,3,23,Munirka DDA Flats,Moderate,False,Clear,Good,50,21,Vasant Vihar,High,False,Clear,Moderate,2,0,Palam Airport / IGI Airport T111,Moderate,False,Foggy,Moderate,46,29,Dwarka Crossing / Maharaja Agrasen Chowk,Low,False,Rainy,Moderate,30,44,Dwarka Sec-6 Telephone Exchange,High,True,Clear,Poor,18,15
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,33.686470705465915,78,25.921309339436462,82,16:00,Jaitpur Crossing,High,False,Foggy,Good,25,32,Lal Kuan,High,False,Rainy,Good,14,15,Okhla Phase 1,Moderate,True,Rainy,Moderate,12,13,Govind Puri Metro Station,Low,True,Clear,Good,1,19,Nehru Place Terminal,High,False,Clear,Moderate,44,17,Panchsheel Enclave,Low,False,Clear,Good,22,17,IIT Gate,Moderate,True,Clear,Good,46,18,Munirka DDA Flats,Low,True,Clear,Poor,12,46,Vasant Vihar,High,True,Rainy,Poor,4,39,Palam Airport / IGI Airport T111,Low,True,Cloudy,Good,12,13,Dwarka Crossing / Maharaja Agrasen Chowk,High,False,Rainy,Poor,19,3,Dwarka Sec-6 Telephone Exchange,Moderate,False,Clear,Moderate,3,27
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,34.90246685806349,81,33.17531827192168,52,21:23,Jaitpur Crossing,Moderate,True,Clear,Good,26,9,Lal Kuan,Moderate,False,Cloudy,Good,22,0,Okhla Phase 1,Moderate,False,Rainy,Poor,16,21,Govind Puri Metro Station,Low,True,Rainy,Good,38,50,Nehru Place Terminal,High,False,Rainy,Poor,9,27,Panchsheel Enclave,High,True,Cloudy,Moderate,46,40,IIT Gate,High,False,Clear,Good,16,3,Munirka DDA Flats,High,False,Rainy,Poor,3,47,Vasant Vihar,High,True,Clear,Poor,33,37,Palam Airport / IGI Airport T111,Moderate,False,Cloudy,Good,36,14,Dwarka Crossing / Maharaja Agrasen Chowk,Moderate,True,Clear,Good,44,27,Dwarka Sec-6 Telephone Exchange,Moderate,False,Clear,Poor,17,30
Badarpur Border (T),NHAI Building / Dwarka Sec-10 Metro Station,34.76177899540288,69,34.711269267076325,59,23:23,Jaitpur Crossing,High,True,Rainy,Good,44,25,Lal Kuan,High,True,Clear,Good,9,23,Okhla Phase 1,Low,True,Clear,Good,40,22,Govind Puri Metro Station,Moderate,True,Clear,Moderate,19,39,Nehru Place Terminal,High,True,Rainy,Good,7,22,Panchsheel Enclave,Moderate,False,Cloudy,Moderate,46,43,IIT Gate,Moderate,False,Foggy,Poor,9,43,Munirka DDA Flats,Moderate,True,Foggy,Moderate,49,1,Vasant Vihar,Moderate,True,Cloudy,Poor,35,31,Palam Airport / IGI Airport T111,High,True,Clear,Poor,23,47,Dwarka Crossing / Maharaja Agrasen Chowk,High,True,Rainy,Good,31,11,Dwarka Sec-6 Telephone Exchange,Low,True,Cloudy,Good,31,35
